condition,epoch,top1_accuracy,macro_f1,balanced_accuracy
Base,0,0.4003254678600488,0.35180721076661764,0.3906396726029182
Frozen vision,1,0.5288852725793328,0.48105469741549,0.47260052073537784
Frozen vision,2,0.5614320585842149,0.5450377271802617,0.5439872765127263
Frozen vision,3,0.6004882017900732,0.5807141977487632,0.5688470430202456
Vision LoRA,1,0.48576078112286414,0.4285792034984391,0.4156235685970218
Vision LoRA,2,0.5622457282343368,0.5569718788336345,0.5503812951624031
Vision LoRA,3,0.6151342554922702,0.6214323178560284,0.6202544523628737
